Device,Model,Type,IOS,BMN
s-sanmgmt-msp-1,WS-C2950-24,switch,C2950-I6Q4L2-M12.1(22)EA6,YUMRI
s-dist-msn-57,WS-C2960G-24TC-L,switch,C2960-LANBASE-M12.2(25)FX,YUMRI
s-vmotion-msp-1,WS-C2960G-24TC-L,switch,C2960-LANBASE-M12.2(25)SEE2,YUMRI
s-dist-msn-100,WS-C2960G-24TC-L,switch,C2960-LANBASEK9-M12.2(50)SE3,YUMRI
s-mgmt-msn-8,WS-C2960G-24TC-L,switch,C2960-LANBASEK9-M12.2(55)SE4,#VALUE!
s-corecu-msn-1,WS-C2960G-24TC-L,switch,C2960-LANBASEK9-M12.2(55)SE6,#VALUE!
s-dist-msn-10,WS-C3560X-24,switch,C3560E-UNIVERSALK9-M12.2(55)SE4,#VALUE!
s-corecu-fit-1,WS-C3560X-24,switch,C3560E-UNIVERSALK9-M15.0(2)SE11,#VALUE!
s-hsa-fit-1,WS-C3560X-24,switch,C3560E-UNIVERSALK9-M15.0(2)SE6,#VALUE!
s-mgmt-msp-11,WS-C3750G-48TS,router,C3750-IPBASE-M12.2(35)SE5,#VALUE!
s-mgmt-msn-10,WS-C3750G-48TS,router,C3750-IPBASEK9-M12.2(50)SE4,#VALUE!
s-mgmt-msp-12,WS-C3750G-48TS,router,C3750-IPBASEK9-M12.2(55)SE10,#VALUE!
s-mgmt-fit-1,WS-C3750G-48TS,router,C3750-IPBASEK9-M15.0(2)SE8,#VALUE!
s-esxcore-msn-3,WS-C3750E-48TD,router,C3750E-UNIVERSAL-M12.2(50)SE3,#VALUE!
s-distms-msn-1,WS-C3750E-24TD,router,C3750E-UNIVERSALK9-M12.2(44)SE6,#VALUE!
s-mgmt-msp-13,WS-C3750E-24TD,router,C3750E-UNIVERSALK9-M12.2(50)SE3,#VALUE!
s-mgmt-ord-1,WS-C3750X-48,router,C3750E-UNIVERSALK9-M12.2(55)SE3,#VALUE!
s-pes-mke-2,ME-3400EG-12CS-M,router,ME340x-METROACCESSK9-M12.2(60)EZ,#VALUE!
s-pes-mke-1,ME-3400EG-12CS-M,router,ME340x-METROACCESSK9-M12.2(60)EZ5,#VALUE!
s-iaas-wan-mke-1,ME-3600X-24TS-M,router,ME360x-UNIVERSALK9-M15.4(3)S1,#VALUE!
r-dc-msp-1,ASR1006,router,X86_64_LINUX_IOSD-ADVENTERPRISEK9-M15.5(3)S8,#VALUE!
r-dc-fit-1,ASR1006,router,X86_64_LINUX_IOSD-ADVIPSERVICESK9-M15.5(3)S4b,#VALUE!
mdf-core-vss.gtcr.remote.binc.net,C6807-XL,routerCatalyst,C6807-XLCatalyst68077-slotbackplane,
chi-6816-core.antar.remote.hms.cdw.com,processor,routerCatalyst,C6816-X-LECatalystC6816-X-LEFixedChassisbackplane,
hou-6840x-core.senre.remote.binc.net,processor,routerCatalyst,C6832-X-LECatalystC6832-X-LEFixedChassisbackplane,
syr-admm1-ms01.hillr.remote.hms.cdw.com,processor,routerCatalyst,C6840-X-LE-40GCatalystC6840-X-LE-40GFixedChassisbackplane,
b30-6800-mmp.hastr.remote.hms.cdw.com,processor,routerCatalyst,C6880-X-LECatalyst68805-slotbackplane,
umd-tyser-t1134-core.umdcp.remote.hms.cdw.com,processor,routerCatalyst,C6880-XCatalyst68805-slotbackplane,
chb-6504e.mayof.remote.hms.cdw.com,WS-C6504-E,routerCatalyst,WS-C6504-ECisco65004-slotbackplane,
cdi-core1.arte.remote.hms.cdw.com,WS-C6506-E,routerCatalyst,WS-C6506-ECatalyst65006-slotbackplane,
noble-backup1-sj2.naes.remote.hms.cdw.com,WS-C6509-E,routerCatalyst,WS-C6509-ECatalyst65009-slotbackplane,
noble-sw1-sj2.naes.remote.hms.cdw.com,WS-C6509,routerCatalyst,WS-C6509Catalyst65009-slotbackplane,
tor6513-core.keena.remote.hms.cdw.com,WS-C6513-E,routerCatalyst,WS-C6513-ECatalyst650013-slotbackplane,
