Device,Model,Type,IOS,BMN
aau01ia-comproom-07.brigg.remote.hms.cdw.com,WS-C3560X-24P,switch,C3560E-UNIVERSALK9-M12.2(53)SE2,BRIGG
security-dvr-1.brigg.remote.binc.net,WS-C3750G-24T,router,C3750-IPBASEK9-M12.2(25)SEB2,BRIGG
mun02ic-01.brigg.remote.binc.net,WS-C3750G-24PS,router,C3750-IPSERVICESK9-M12.2(25)SED1,BRIGG
auk01ic-01.brigg.remote.binc.net,WS-C3750G-24PS,router,C3750-IPSERVICESK9-M12.2(55)SE12,BRIGG
mcd02ic-cl01-sw01.brigg.remote.binc.net,WS-C3750G-12S,router,C3750-IPSERVICESK9-M12.2(55)SE5,BRIGG
mcd01iw03.brigg.remote.binc.net,3825,router,C3825-ADVIPSERVICESK9-M12.4(24)T2,BRIGG
jef02ic01.brigg.remote.binc.net,WS-C3650-24PS,router,CAT3K_CAA-UNIVERSALK9-M03.03.03SE,BRIGG
efr01ic-01.brigg.remote.binc.net,WS-C3650-48PS,router,CAT3K_CAA-UNIVERSALK9-M03.03.04.SE,BRIGG
aau01ia-internet-01.brigg.remote.hms.cdw.com,WS-C3850-48T,router,CAT3K_CAA-UNIVERSALK9-M03.06.05E,BRIGG
mke01ic-ibm02.brigg.remote.binc.net,WS-C3650-48PS,router,CAT3K_CAA-UNIVERSALK9-M16.6.3,BRIGG
acn01ic01.brigg.remote.binc.net,WS-C4507R+E,switch,cat4500e-UNIVERSALK9-M03.04.04.SG,BRIGG
mke02ic-phone01.brigg.remote.binc.net,WS-C4507R+E,switch,cat4500e-UNIVERSALK9-M03.05.03.E,BRIGG
aub01ic01.brigg.remote.binc.net,WS-C4507R+E,switch,cat4500e-UNIVERSALK9-M03.06.03.E,BRIGG
aau01ic-01.brigg.remote.hms.cdw.com,WS-C4510R+E,switch,cat4500e-UNIVERSALK9-M03.06.08.E,BRIGG
acn02ic01.brigg.remote.binc.net,WS-C4507R+E,switch,cat4500e-UNIVERSALK9-M03.08.06.E,BRIGG
hde01ic-01.brigg.remote.hms.cdw.com,C9300-24P,router,CAT9K_IOSXE16.6.4,BRIGG
aub03ic-01.brigg.remote.hms.cdw.com,C9300-24P,router,CAT9K_IOSXE16.6.5,BRIGG
mke01iabc402588l.brigg.remote.binc.net,WS-CBS3012-IBM-I,router,CBS31X0-UNIVERSAL-M12.2(52)SE,BRIGG
mke01iablade05.brigg.remote.binc.net,OS-CIGESM-18TT-EBU,router,CIGESM-I6Q4L2-M12.1(22)EA9,BRIGG
mke03iv-vg204-01.brigg.remote.binc.net,VG204XM,router,VG20XXM-ADVIPSERVICESK9-M15.4(3)M4,BRIGG
mke03iv-vg204-02.brigg.remote.binc.net,VG204XM,router,VG20XXM-IPVOICE-M15.4(3)M3,BRIGG
aub01iv-vg224-01.brigg.remote.binc.net,VG224,router,vg224-I6K9S-M15.1(4)M12a,BRIGG
mke02ivg05.brigg.remote.binc.net,VG224,router,vg224-I6S-M15.1(4)M9,BRIGG
mke01inetgw-01.brigg.remote.binc.net,ASR1001,router,X86_64_LINUX_IOSD-UNIVERSAL-M15.3(3)S3,BRIGG
mke01iw-mpls02.brigg.remote.binc.net,ISR4451-X/K9,router,X86_64_LINUX_IOSD-UNIVERSALK9-M15.4(3)S3,BRIGG
mke01ivg02.brigg.remote.binc.net,ISR4331/K9,router,X86_64_LINUX_IOSD-UNIVERSALK9-M15.4(3)S5,BRIGG
aft-core-rtr.bunn.remote.hms.cdw.com,CISCO2921/K9,router,C2900-UNIVERSALK9-M15.4(3)M8,BUNN
cre-core-rtr.bunn.remote.hms.cdw.com,CISCO2951/K9,router,C2951-UNIVERSALK9-M15.4(3)M8,BUNN
spipbx1.bunn.remote.hms.cdw.com,CISCO3925-CHASSIS,router,C3900-UNIVERSALK9-M15.3(3)M10,BUNN
s-bww-mn-2071-1.bww.remote.hms.cdw.com,WS-C2960S-24PS-L,switch,C2960S-UNIVERSALK9-M15.0(2)SE10a,BWW
r-bww-1001-msp-2.bww.remote.hms.cdw.com,ASR1001,router,X86_64_LINUX_IOSD-UNIVERSALK9-M15.2(4)S5,BWW
3850-cantel-mn-cha3500-1.cantl.remote.hms.cdw.com,WS-C3850-24T,router,CAT3K_CAA-UNIVERSALK9-M16.6.6,CANTL
r-ccpb-1.ccpb.remote.binc.net,891,router,C890-UNIVERSALK9-M15.1(4)M7,CCPB
9500-core.ccss.remote.hms.cdw.com,C9500-16X,router,CAT9K_IOSXE16.9.2,CCSS
chrs-atslab-rt-01.cdwec.remote.hms.cdw.com,CISCO2921/K9,router,C2900-UNIVERSALK9-M15.7(3)M5,CDWEC
s-cmic-4500-fit-a.cmic.remote.hms.cdw.com,WS-C4500X-16,switch,cat4500e-UNIVERSALK9-M03.08.02.E,CMIC
albion-wan.cntry.remote.binc.net,CISCO1941/K9,router,C1900-UNIVERSALK9-M15.3(3)M10,CNTRY
bp-wan.cntry.remote.hms.cdw.com,CISCO1941/K9,router,C1900-UNIVERSALK9-M15.4(3)M3,CNTRY
bv-wan.cntry.remote.hms.cdw.com,CISCO1941/K9,router,C1900-UNIVERSALK9-M15.4(3)M8,CNTRY
mv-wan-ts.cntry.remote.binc.net,CISCO1941/K9,router,C1900-UNIVERSALK9-M15.5(3)M6,CNTRY
sw-roland-wan.cntry.remote.hms.cdw.com,CISCO1941/K9,router,C1900-UNIVERSALK9-M15.7(3)M1,CNTRY
mv-ccr-sw02.cntry.remote.binc.net,WS-C3850-12XS,router,CAT3K_CAA-UNIVERSALK9-M03.07.02E,CNTRY
berry-wan.cntry.remote.hms.cdw.com,ISR4221/K9,router,X86_64_LINUX_IOSD-UNIVERSALK9_IAS-M16.6.3,CNTRY
sims-wan.cntry.remote.hms.cdw.com,ISR4221/K9,router,X86_64_LINUX_IOSD-UNIVERSALK9_IAS-M16.9.4,CNTRY
co-cube-01.cosmo.remote.hms.cdw.com,ISR4331/K9,router,X86_64_LINUX_IOSD-UNIVERSALK9-M15.4(3)S8,COSMO
vg320_2503.crlc.remote.hms.cdw.com,VG320,router,VG3X0-UNIVERSALK9-M15.9(3)M1,CRLC
108-as01.cspf.remote.hms.cdw.com,C9300-48P,router,CAT9K_IOSXE16.10.1,CSPF
434-as01.cspf.remote.hms.cdw.com,C9200-24P,router,CAT9K_LITE_IOSXE16.10.1,CSPF
bald292101.dap.remote.hms.cdw.com,CISCO2921/K9,router,C2900-UNIVERSALK9-M15.0(1)M8,DAP
s-mgtp02-den-01.dcapps.remote.hms.cdw.com,C9200L-48T-4G,router,CAT9K_LITE_IOSXE16.9.2,DCAPPS
r-wanp02-msp-1.dcapps.remote.hms.cdw.com,ASR1001,router,X86_64_LINUX_IOSD-UNIVERSALK9-M15.5(3)S10,DCAPPS
dab-router-2911.dexco.remote.hms.cdw.com,CISCO2911/K9,router,C2900-UNIVERSALK9-M15.6(3)M8,DEXCO
dab_sw1_1_3.dexco.remote.hms.cdw.com,WS-C3750X-48P,router,C3750E-UNIVERSALK9-M15.0(2)SE9,DEXCO
dab_sw1-1-1.dexco.remote.hms.cdw.com,WS-C3850-48U,router,CAT3K_CAA-UNIVERSALK9-M03.03.05SE,DEXCO
msa-2063-sw1-1.dexco.remote.hms.cdw.com,WS-C4510R+E,switch,cat4500es8-UNIVERSALK9-M03.09.00.E,DEXCO
msa-2042-sw-2-1.dexco.remote.hms.cdw.com,WS-C4510R+E,switch,cat4500es8-UNIVERSALK9-M03.09.02.E,DEXCO
v-dfs-fit-1.dfs.remote.hms.cdw.com,CISCO1921/K9,router,C1900-UNIVERSALK9-M15.2(4)M5,DFS
lon-vgw-01.dsign.remote.hms.cdw.com,ISR4351/K9,router,X86_64_LINUX_IOSD-UNIVERSALK9-M16.3.8,DSIGN
us-eagan-gtw-e3x-1.ecola.remote.hms.cdw.com,CISCO3945-CHASSIS,router,C3900-UNIVERSALK9-M15.4(3)M7,ECOLA
1122-usnap-uccevg1-q8h.ecola.remote.hms.cdw.com,ISR4431/K9,router,X86_64_LINUX_IOSD-UNIVERSALK9-M15.5(3)S6b,ECOLA
glenbrookvoicegate.edm.remote.hms.cdw.com,2811,router,C2800NM-IPVOICEK9-M15.0(1)M4,EDM
lino_voicegate.edm.remote.hms.cdw.com,CISCO2921/K9,router,C2900-UNIVERSALK9-M15.1(2)T5,EDM
atlprigateway.edm.remote.hms.cdw.com,CISCO2911/K9,router,C2900-UNIVERSALK9-M15.3(3)M6,EDM
loyang20voicegate1.edm.remote.hms.cdw.com,CISCO2901/K9,router,C2900-UNIVERSALK9-M15.5(3)M6,EDM
c2911-rig-sip.edm.remote.hms.cdw.com,CISCO2911/K9,router,C2900-UNIVERSALK9-M15.6(3)M2,EDM
a96-612-voice-gw02.edm.remote.hms.cdw.com,CISCO2901/K9,router,C2900-UNIVERSALK9-M15.7(3)M2,EDM
loyang20cvg1.edm.remote.hms.cdw.com,CISCO3925-CHASSIS,router,C3900-UNIVERSALK9-M15.1(4)M4,EDM
loyang20cvg3.edm.remote.hms.cdw.com,VG204,router,VG20X-IPVOICE-M15.0(1)M8,EDM
loyang20cvg2.edm.remote.hms.cdw.com,VG224,router,vg224-I6S-M12.4(24)T7,EDM
atlanaloggate3.edm.remote.hms.cdw.com,VG310,router,VG3X0-UNIVERSALK9-M15.4(3)M3,EDM
atlanaloggate2.edm.remote.hms.cdw.com,VG310,router,VG3X0-UNIVERSALK9-M15.6(3)M,EDM
stm-voicegateway.edm.remote.hms.cdw.com,ISR4431/K9,router,X86_64_LINUX_IOSD-UNIVERSALK9-M15.5(2)S1c,EDM
atl-cube1.edm.remote.hms.cdw.com,ISR4321/K9,router,X86_64_LINUX_IOSD-UNIVERSALK9-M16.9.3,EDM
ch01-mainbldg-2951-vpls.endop.remote.hms.cdw.com,CISCO2951/K9,router,C2951-UNIVERSALK9-M15.1(4)M4,ENDOP
cra-b8mdf-2951-vpls.endop.remote.hms.cdw.com,CISCO2951/K9,router,C2951-UNIVERSALK9-M15.2(4)M2,ENDOP
mal-bamdf-2951-cube-1.endop.remote.hms.cdw.com,CISCO2951/K9,router,C2951-UNIVERSALK9-M15.4(3)M5,ENDOP
mal-garfl1-2960s-1.endop.remote.hms.cdw.com,WS-C2960S-48LPD-L,switch,C2960S-UNIVERSALK9-M15.0(2)SE,ENDOP
ch01-bmdc-2960x-failover-1.endop.remote.hms.cdw.com,WS-C2960S-48TD-L,switch,C2960S-UNIVERSALK9-M15.0(2a)SE9,ENDOP
mal-bamdf-3750-fw-failover.endop.remote.hms.cdw.com,WS-C3750X-48P,router,C3750E-UNIVERSALK9-M12.2(55)SE1,ENDOP
irvfb-dc-3750x-1.endop.remote.hms.cdw.com,WS-C3750X-48P,router,C3750E-UNIVERSALK9-M15.0(1)SE2,ENDOP
mal-bamdf-3750-1.endop.remote.hms.cdw.com,WS-C3750X-48P,router,C3750E-UNIVERSALK9-M15.0(2)SE,ENDOP
